date,advertiser_name,impressions,clicks,post_click_activities,post_view_activities,spend,cpm,cpa,cpc,ctr
2013-10-22,Advertiser 20,813,0,0,0,4.77,5.87,0,0,0
2013-10-22,Advertiser 21,10744,5,0,0,9.94,0.93,0,1.99,0.05
2013-10-22,Advertiser 22,1395,1,0,0,10.87,7.79,0,10.87,0.07
2013-10-22,Advertiser 23,20297,4,0,0,24.79,1.22,0,6.2,0.02
2013-10-22,Advertiser 24,13112,6,0,0,38.82,2.96,0,6.47,0.05
2013-10-22,Advertiser 26,42600,25,0,0,84.02,1.97,0,3.36,0.06
2013-10-22,Advertiser 25,12234,2,0,0,23.01,1.88,0,11.5,0.02
2013-10-22,Advertiser 27,8991,4,0,0,5.11,0.57,0,1.28,0.04
2013-10-22,Advertiser 28,21156,8,0,0,41.63,1.97,0,5.2,0.04
2013-10-22,Advertiser 29,330,0,0,0,0.89,2.69,0,0,0
2013-10-22,Advertiser 30,11821,4,0,0,22.66,1.92,0,5.66,0.03
2013-10-22,Advertiser 33,61950,24,0,0,16.54,0.27,0,0.69,0.04
2013-10-22,Advertiser 34,223512,156,0,0,220.3,0.99,0,1.41,0.07
2013-10-22,Advertiser 36,8922,7,0,0,8.8,0.99,0,1.26,0.08
2013-10-23,Advertiser 1,77,0,0,0,0.31,4.06,0,0,0
2013-10-23,Advertiser 2,9520,22,1,1,53.16,5.58,26.58,2.42,0.23
2013-10-23,Advertiser 3,16537,24,0,5,79.35,4.8,15.87,3.31,0.15
2013-10-23,Advertiser 4,15570,0,0,0,31.45,2.02,0,0,0
2013-10-23,Advertiser 5,13557,8,0,5,50.94,3.76,10.19,6.37,0.06
2013-10-23,Advertiser 6,12166,4,0,0,28.02,2.3,0,7.01,0.03
2013-10-23,Advertiser 7,8015,3,1,151,18.91,2.36,0.12,6.3,0.04
2013-10-23,Advertiser 8,9417,7,0,0,32.9,3.49,0,4.7,0.07
2013-10-23,Advertiser 11,0,0,0,0,0,0,0,0,0
2013-10-23,Advertiser 13,7304,13,1,2,35.38,4.84,11.79,2.72,0.18
2013-10-23,Advertiser 14,64784,1406,0,0,78.44,1.21,0,0.06,2.17
2013-10-23,Advertiser 16,6640,1,0,0,20.58,3.1,0,20.58,0.02
2013-10-23,Advertiser 17,2794,1,0,0,5.61,2.01,0,5.61,0.04
2013-10-23,Advertiser 18,38994,13,0,0,77.08,1.98,0,5.93,0.03
2013-10-23,Advertiser 19,8234,3,0,0,12.61,1.53,0,4.2,0.04
2013-10-23,Advertiser 20,725,0,0,0,4.58,6.31,0,0,0
2013-10-23,Advertiser 21,12777,17,0,0,10.25,0.8,0,0.6,0.13
